Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Lightning Balls,350,777,Levi Pyram,237,385,RGO,392,T2,2,5,2,1,-7.97%,7.97%,0,0,66,7,3,GCG,MHM,RGO,RGO,,1
Donnie Lindsanity,2052,272,Owen Uridge,2058,602,K,330,B2,0,0,2,1,-2.00%,2.00%,0,0,67,7,3,MHM,GCG,K,K,,1
Jay Bedia,2151,550,Owen Uridge,2058,603,3B,53,B2,1,0,2,1,6.68%,-6.68%,0,1,67,7,3,MHM,GCG,3B,3B,,1
Levi Pyram,237,728,Owen Uridge,2058,576,BB,152,B2,1,3,2,1,0.78%,-0.78%,0,1,67,7,3,MHM,GCG,BB,BB,,1
Thomas Nova,1,242,Owen Uridge,2058,134,1B,108,B2,1,5,2,1,6.54%,-6.54%,1,0,67,7,3,MHM,GCG,1B,1B,,1
Zed Leona,2004,238,Owen Uridge,2058,3,FO,235,B2,1,4,3,1,-2.22%,2.22%,0,0,67,7,3,MHM,GCG,FO,FO,,1
Julio Cesar,53,65,Owen Uridge,2058,962,1B,103,B2,2,4,3,1,7.72%,-7.72%,1,0,67,7,3,MHM,GCG,1B,1B,,1
Forrest Gleeson,51,840,Owen Uridge,2058,376,LGO,464,B2,2,5,4,1,-2.86%,2.86%,0,0,67,7,3,MHM,GCG,LGO,LGO,,1
Dom Stakes,384,13,Levi Pyram,237,682,K,331,T3,0,0,4,1,-2.28%,2.28%,0,0,68,7,3,GCG,MHM,K,K,,1
Jake Wilson,454,791,Levi Pyram,237,426,K,365,T3,1,0,4,1,-1.87%,1.87%,0,0,68,7,3,GCG,MHM,K,K,,1
Cook Froster,2033,29,Levi Pyram,237,173,BB,144,T3,2,0,4,1,1.88%,-1.88%,0,0,68,7,3,GCG,MHM,BB,BB,,1
Thomas Chiggins,16,810,Levi Pyram,237,882,1B,72,T3,2,1,4,1,3.15%,-3.15%,0,0,68,7,3,GCG,MHM,1B,1B,,1
Conrad Love,300,911,Levi Pyram,237,343,RGO,432,T3,2,5,4,1,-6.25%,6.25%,0,0,68,7,3,GCG,MHM,RGO,RGO,,1
Larry Wayne,2053,50,Owen Uridge,2058,103,2B,53,B3,0,0,4,1,2.16%,-2.16%,0,1,69,7,3,MHM,GCG,2B,2B,,1
