Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Phil Coulson,226,175,Skippy Schumaker,1843,442,K,267,T4,2,5,3,2,-10.09%,10.09%,0,0,0,7,1,1,WSH,WWC,K,K,FO,1
Jeremy Nakamoto,1787,777,Oliver Yu,286,71,K,294,B4,0,0,3,2,-2.24%,2.24%,0,0,0,8,1,1,WWC,WSH,K,K,K,1
Skippy Schumaker,1843,371,Oliver Yu,286,333,2B,38,B4,1,0,3,2,4.40%,-4.40%,0,1,1,8,1,1,WWC,WSH,2B,2B,2B,1
Johnny Hendrix,600,115,Oliver Yu,286,56,2B,59,B4,1,2,3,2,9.31%,-9.31%,1,1,1,8,1,1,WWC,WSH,2B,1B,2B,1
Paddy O'Connor,549,455,Oliver Yu,286,555,1B,100,B4,1,2,4,2,2.24%,-2.24%,0,0,0,8,1,1,WWC,WSH,1B,1B,1B,1
Alex Peters,187,899,Oliver Yu,286,268,PO,369,B4,1,5,4,2,-3.80%,3.80%,0,0,0,8,1,1,WWC,WSH,PO,PO,K,1
Francis Swagger,610,899,Oliver Yu,286,801,1B,98,B4,2,5,4,2,5.66%,-5.66%,1,0,0,8,1,1,WWC,WSH,1B,1B,1B,1
Ferret McGivins,1706,72,Oliver Yu,286,600,LGO,472,B4,2,5,5,2,-1.48%,1.48%,0,0,0,8,1,1,WWC,WSH,LGO,LGO,LGO,1
Charlie Bae Jr.,293,70,Guido Ligiorno,1830,901,FO,169,T5,0,0,5,2,-2.48%,2.48%,0,0,0,9,1,1,WSH,WWC,FO,FO,BB,1
Chody McCarty,650,500,Guido Ligiorno,1830,357,FO,143,T5,1,0,5,2,-2.05%,2.05%,0,0,0,9,1,1,WSH,WWC,FO,FO,BB,1
Conor Sexton,289,555,Guido Ligiorno,1830,101,RGO,454,T5,2,0,5,2,-1.02%,1.02%,0,0,0,9,1,1,WSH,WWC,RGO,RGO,LGO,1
Guido Ligiorno,1830,420,Oliver Yu,286,250,BB,170,B5,0,0,5,2,0.74%,-0.74%,0,0,0,10,1,1,WWC,WSH,BB,BB,BB,1
Guido Ligiorno,1830,450,Oliver Yu,286,830,CS,380,B5,0,1,5,2,-1.11%,1.11%,0,0,0,10,1,1,WWC,WSH,CS 2B,CS 2B,CS,4
J.J. Guemes,207,420,Oliver Yu,286,430,3B,10,B5,1,0,5,2,2.00%,-2.00%,0,1,1,10,1,1,WWC,WSH,3B,3B,HR,1
Jeremy Nakamoto,1787,204,Oliver Yu,286,1,Sac,203,B5,1,3,5,2,-0.14%,0.14%,1,0,0,10,1,1,WWC,WSH,FO,FO,Sac,1
Skippy Schumaker,1843,666,Oliver Yu,286,600,1B,66,B5,2,0,6,2,0.01%,-0.01%,0,0,0,10,1,1,WWC,WSH,1B,1B,1B,1
Johnny Hendrix,600,333,Oliver Yu,286,1,K,332,B5,2,1,6,2,-0.19%,0.19%,0,0,0,10,1,1,WWC,WSH,K,PO,K,1
Jeff Dingerhitter,298,805,Guido Ligiorno,1830,890,BB,85,T6,0,0,6,2,2.34%,-2.34%,0,0,0,11,1,1,WSH,WWC,BB,BB,1B,1
Jack Ryan,2215,259,Guido Ligiorno,1830,840,PO,419,T6,0,1,6,2,-2.21%,2.21%,0,0,0,11,1,1,WSH,WWC,PO,PO,DP,1
KC Bats,287,69,Guido Ligiorno,1830,799,K,270,T6,1,1,6,2,-1.63%,1.63%,0,0,0,11,1,1,WSH,WWC,K,K,FO,1
Mitch Kramer,669,,Guido Ligiorno,1830,,Auto K,,T6,2,1,6,2,-0.63%,0.63%,0,0,0,11,1,1,WSH,WWC,Auto K,Auto K,Auto K,9
Stubby Footman,539,500,Tabasco Greensauce,1818,188,K,312,T1,0,0,0,0,-2.52%,2.52%,0,0,0,12,2,1,ISO,KRB,K,K,K,1
Ronnie Wristclocks,2246,844,Tabasco Greensauce,1818,341,LGO,497,T1,1,0,0,0,-2.52%,2.52%,0,0,0,12,2,1,ISO,KRB,LGO,LGO,LGO,1
Dirk Digglet,2206,911,Tabasco Greensauce,1818,41,1B,130,T1,2,0,0,0,1.77%,-1.77%,0,0,0,12,2,1,ISO,KRB,1B,1B,1B,1
Mike Oxlong,230,270,Tabasco Greensauce,1818,567,K,297,T1,2,1,0,0,-3.51%,3.51%,0,0,0,12,2,1,ISO,KRB,K,K,K,1
Brian Zucchini,33,450,Bob Dobby,1736,404,2B,46,B1,0,0,0,0,6.76%,-6.76%,0,0,0,13,2,1,KRB,ISO,2B,2B,2B,1
Moby Dick,1719,300,Bob Dobby,1736,112,FO,188,B1,0,2,0,0,-4.09%,4.09%,0,0,0,13,2,1,KRB,ISO,FO,FO,FO,1
Tabasco Greensauce,1818,690,Bob Dobby,1736,1000,PO,310,B1,1,2,0,0,-4.97%,4.97%,0,0,0,13,2,1,KRB,ISO,PO,PO,K,1
Wee Laddy Donkus,582,850,Bob Dobby,1736,666,FO,184,B1,2,2,0,0,-4.49%,4.49%,0,0,0,13,2,1,KRB,ISO,FO,FO,FO,1
Monty Johnson,557,854,Tabasco Greensauce,1818,322,LGO,468,T2,0,0,0,0,-2.86%,2.86%,0,0,0,14,2,1,ISO,KRB,LGO,LGO,LGO,1
Sweet Bobby Dangles Jr,1748,1,Tabasco Greensauce,1818,611,PO,390,T2,1,0,0,0,-2.90%,2.90%,0,0,0,14,2,1,ISO,KRB,PO,PO,PO,1
Leroy Hawk,1738,250,Tabasco Greensauce,1818,635,RGO,385,T2,2,0,0,0,-1.53%,1.53%,0,0,0,14,2,1,ISO,KRB,RGO,RGO,PO,1
Pierre Bryant,1771,747,Bob Dobby,1736,404,PO,343,B2,0,0,0,0,-2.75%,2.75%,0,0,0,15,2,1,KRB,ISO,PO,PO,K,1
Arthur Vandelay,518,976,Bob Dobby,1736,99,BB,123,B2,1,0,0,0,3.67%,-3.67%,0,1,1,15,2,1,KRB,ISO,BB,BB,1B,1
Joey Wheeler,662,350,Bob Dobby,1736,308,HR,42,B2,1,1,0,0,18.66%,-18.66%,2,1,1,15,2,1,KRB,ISO,HR,HR,2B,1
Heechul Kim,671,209,Bob Dobby,1736,222,HR,13,B2,1,0,2,0,8.01%,-8.01%,1,1,1,15,2,1,KRB,ISO,HR,HR,HR,1
Kevin Arianna,113,34,Bob Dobby,1736,222,FO,188,B2,1,0,3,0,-0.61%,0.61%,0,0,0,15,2,1,KRB,ISO,FO,K,FO,1
Brian Zucchini,33,222,Bob Dobby,1736,747,LGO,475,B2,2,0,3,0,-0.91%,0.91%,0,0,0,15,2,1,KRB,ISO,LGO,LGO,LGO,1
Matt Taylor,780,653,Tabasco Greensauce,1818,621,2B,32,T3,0,0,3,0,4.82%,-4.82%,0,1,1,16,2,1,ISO,KRB,2B,2B,2B,1
Bob Dobby,1736,808,Tabasco Greensauce,1818,222,RGO,414,T3,0,2,3,0,0.39%,-0.39%,0,0,0,16,2,1,ISO,KRB,RGO,RGO,RGO,1
Stubby Footman,539,633,Tabasco Greensauce,1818,470,BB,163,T3,1,3,3,0,3.23%,-3.23%,0,0,0,16,2,1,ISO,KRB,BB,BB,BB,1
Ronnie Wristclocks,2246,450,Tabasco Greensauce,1818,516,1B,66,T3,1,5,3,0,7.60%,-7.60%,1,0,0,16,2,1,ISO,KRB,1B,1B,1B,1
Dirk Digglet,2206,69,Tabasco Greensauce,1818,631,DP,438,T3,1,4,3,1,-15.07%,15.07%,0,0,0,16,2,1,ISO,KRB,LGO,LGO,DP,1
Moby Dick,1719,420,Bob Dobby,1736,500,1B,80,B3,0,0,3,1,1.84%,-1.84%,0,0,0,17,2,1,KRB,ISO,1B,1B,1B,1
Tabasco Greensauce,1818,343,Bob Dobby,1736,777,DP,434,B3,0,1,3,1,-4.68%,4.68%,0,0,0,17,2,1,KRB,ISO,RGO,RGO,DP,1
Wee Laddy Donkus,582,1,Bob Dobby,1736,1,HR,0,B3,2,0,3,1,7.65%,-7.65%,1,1,1,17,2,1,KRB,ISO,HR,HR,HR,1
Pierre Bryant,1771,469,Dirk Digglet,2206,956,LGO,487,B3,2,0,4,1,-0.62%,0.62%,0,0,0,17,2,1,KRB,ISO,LGO,LGO,LGO,1
Mike Oxlong,230,720,Tabasco Greensauce,1818,101,PO,381,T4,0,0,4,1,-2.47%,2.47%,0,0,0,18,2,1,ISO,KRB,PO,PO,PO,1
Monty Johnson,557,222,Tabasco Greensauce,1818,820,PO,402,T4,1,0,4,1,-2.55%,2.55%,0,0,0,18,2,1,ISO,KRB,PO,PO,RGO,1
Sweet Bobby Dangles Jr,1748,500,Tabasco Greensauce,1818,488,HR,12,T4,2,0,4,1,6.88%,-6.88%,1,1,1,18,2,1,ISO,KRB,HR,HR,HR,1
Leroy Hawk,1738,507,Tabasco Greensauce,1818,800,FO,293,T4,2,0,4,2,-2.22%,2.22%,0,0,0,18,2,1,ISO,KRB,FO,K,K,1
Arthur Vandelay,518,376,Dirk Digglet,2206,590,FO,214,B4,0,0,4,2,-1.66%,1.66%,0,0,0,19,2,1,KRB,ISO,FO,FO,FO,1
Joey Wheeler,662,469,Dirk Digglet,2206,999,LGO,470,B4,1,0,4,2,-1.11%,1.11%,0,0,0,19,2,1,KRB,ISO,LGO,LGO,LGO,1
Heechul Kim,671,888,Dirk Digglet,2206,55,BB,167,B4,2,0,4,2,0.81%,-0.81%,0,0,0,19,2,1,KRB,ISO,BB,FO,BB,1
Kevin Arianna,113,12,Dirk Digglet,2206,201,FO,189,B4,2,1,4,2,-1.45%,1.45%,0,0,0,19,2,1,KRB,ISO,FO,FO,FO,1
Matt Taylor,780,826,Tabasco Greensauce,1818,900,1B,74,T5,0,0,4,2,6.84%,-6.84%,0,0,0,20,2,1,ISO,KRB,1B,1B,1B,1
Bob Dobby,1736,299,Tabasco Greensauce,1818,1000,K,299,T5,0,1,4,2,-5.21%,5.21%,0,0,0,20,2,1,ISO,KRB,K,K,K,1
Stubby Footman,539,27,Tabasco Greensauce,1818,239,FO,212,T5,1,1,4,2,-5.76%,5.76%,0,0,0,20,2,1,ISO,KRB,FO,FO,FO,1
Ronnie Wristclocks,2246,800,Tabasco Greensauce,1818,506,FO,294,T5,2,1,4,2,-4.80%,4.80%,0,0,0,20,2,1,ISO,KRB,FO,FO,K,1
Brian Zucchini,33,690,Dirk Digglet,2206,328,PO,362,B5,0,0,4,2,-0.63%,0.63%,0,0,0,21,2,1,KRB,ISO,PO,PO,K,1
Moby Dick,1719,200,Dirk Digglet,2206,991,FO,209,B5,1,0,4,2,-0.86%,0.86%,0,0,0,21,2,1,KRB,ISO,FO,FO,FO,1
Tabasco Greensauce,1818,602,Dirk Digglet,2206,198,PO,404,B5,2,0,4,2,-0.47%,0.47%,0,0,0,21,2,1,KRB,ISO,PO,PO,RGO,1
Dirk Digglet,2206,897,Arthur Vandelay,518,246,PO,349,T6,0,0,4,2,-4.18%,4.18%,0,0,0,22,2,1,ISO,KRB,PO,PO,K,1
Mike Oxlong,230,347,Arthur Vandelay,518,286,2B,61,T6,1,0,4,2,6.87%,-6.87%,0,0,0,22,2,1,ISO,KRB,2B,2B,2B,1
Monty Johnson,557,221,Arthur Vandelay,518,621,PO,400,T6,1,2,4,2,-7.25%,7.25%,0,0,0,22,2,1,ISO,KRB,PO,PO,RGO,1
Sweet Bobby Dangles Jr,1748,989,Arthur Vandelay,518,360,PO,371,T6,2,2,4,2,-4.88%,4.88%,0,0,0,22,2,1,ISO,KRB,PO,PO,K,1
