Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
KC Bats,287,305,Petetholomew Jones,216,334,3B,29,T2,2,1,0,3,7.34%,-7.34%,1,0,2394,204,14,PHI,ATL,3B,2B,3B,1
Billy McBeans,681,944,Petetholomew Jones,216,591,RGO,353,T2,2,3,0,4,-1.93%,1.93%,0,0,2394,204,14,PHI,ATL,RGO,RGO,K,1
Dick Pole,720,967,Joel Embiid,285,275,RGO,308,B2,0,0,0,4,-1.98%,1.98%,0,0,2395,204,14,ATL,PHI,RGO,RGO,K,1
Minor Leaguer,725,736,Joel Embiid,285,522,FO,214,B2,1,0,0,4,-1.51%,1.51%,0,0,2395,204,14,ATL,PHI,FO,FO,FO,1
Nick Papagiorgio,499,585,Joel Embiid,285,307,PO,278,B2,2,0,0,4,-1.03%,1.03%,0,0,2395,204,14,ATL,PHI,PO,PO,FO,1
Jeff Dingerhitter,298,111,Petetholomew Jones,216,236,BB,125,T3,0,0,0,4,0.74%,-0.74%,0,1,2396,204,14,PHI,ATL,BB,1B,1B,1
Miguel Snow,290,420,Petetholomew Jones,216,424,HR,4,T3,0,1,0,4,5.27%,-5.27%,2,1,2396,204,14,PHI,ATL,HR,HR,HR,1
Johnny Coppolella,738,97,Thomas Beowulf,218,1000,1B,97,T3,0,0,0,6,0.19%,-0.19%,0,0,2396,204,14,PHI,ATL,1B,1B,1B,1
Phil Coulson,226,430,Thomas Beowulf,218,97,PO,333,T3,0,1,0,6,-0.12%,0.12%,0,0,2396,204,14,PHI,ATL,PO,PO,K,1
Chuck McCluster,296,,Thomas Beowulf,218,,Auto K,,T3,1,1,0,6,-0.41%,0.41%,0,0,2396,204,14,PHI,ATL,Auto K,Auto K,Auto K,9
H.E. Pennypacker,577,777,Thomas Beowulf,218,998,FO,221,T3,2,1,0,6,-0.34%,0.34%,0,0,2396,204,14,PHI,ATL,FO,FO,FO,1
