Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
King Kruul,2229,453,Elijah Walker,3107,907,RGO,454,B6,0,0,1,1,,,0,0,12,1,1,WRM,IDR,RGO,RGO,,,,,,1
William T. Striker,2867,673,Elijah Walker,3107,288,PO,385,B6,1,0,1,1,,,0,0,12,1,1,WRM,IDR,PO,PO,,,,,,1
Tony Pizza,2844,765,Elijah Walker,3107,525,FO,240,B6,2,0,1,1,,,0,0,12,1,1,WRM,IDR,FO,FO,,,,,,1
Tubby Wubby,2853,744,Hans Zahn,2915,357,PO,387,T7,0,0,1,1,,,0,0,13,1,1,IDR,WRM,PO,PO,,,,,,1
Kenny Powers,2627,437,Hans Zahn,2915,888,RGO,451,T7,1,0,1,1,,,0,0,13,1,1,IDR,WRM,RGO,RGO,,,,,,1
Skork Hooker,786,650,Hans Zahn,2915,686,2B,36,T7,2,0,1,1,,,0,0,13,1,1,IDR,WRM,2B,2B,,,,,,1
Elijah Walker,3107,200,Eijun Sawamura,2782,550,K,350,T7,2,2,1,1,,,0,0,13,1,1,IDR,WRM,K,K,,,,,,1
Butch Sterling,2992,222,Elijah Walker,3107,265,2B,43,B7,0,0,1,1,,,0,1,14,1,1,WRM,IDR,2B,2B,,,,,,1
Doc Otis,2256,500,Sleve McDichael,3126,273,BUNT Sac,227,B7,0,2,1,1,,,0,0,14,1,1,WRM,IDR,BUNT Sac,BUNT Sac,BUNT Sac,,,,,3
Philip Berkenshire,3137,250,Sleve McDichael,3126,273,3B,23,B7,1,3,1,1,,,1,0,14,1,1,WRM,IDR,3B,3B,,3107,,,,2
Flame-Test Fleming,3144,16,Alic Alphaball,3189,306,K,290,T1,0,0,0,0,,,0,0,15,2,1,DOG,SHH,K,K,,,,,,1
Cormac Karona,3108,650,Alic Alphaball,3189,899,K,249,T1,1,0,0,0,,,0,0,15,2,1,DOG,SHH,K,K,,,,,,1
Rich Driver,2671,470,Alic Alphaball,3189,962,LGO,492,T1,2,0,0,0,,,0,0,15,2,1,DOG,SHH,LGO,LGO,,,,,,1
Cole Slaw,3040,370,NOT Paulie Wag,583,71,K,299,B1,0,0,0,0,,,0,0,16,2,1,SHH,DOG,K,K,,,,,,1
Lincoln Pickett,2870,69,NOT Paulie Wag,583,424,K,355,B1,1,0,0,0,,,0,0,16,2,1,SHH,DOG,K,K,,,,,,1
Wallace Grommet,492,801,NOT Paulie Wag,583,546,FO,255,B1,2,0,0,0,,,0,0,16,2,1,SHH,DOG,FO,FO,,,,,,1
Uncle Crush,3072,621,Alic Alphaball,3189,180,PO,441,T2,0,0,0,0,,,0,0,17,2,1,DOG,SHH,PO,PO,,,,,,1
