Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Trey Henderson,2672,622,Dakota Carolina Montana,65,187,DP,435,B2,1,1,0,1,-7.85%,7.85%,0,0,155,14,3,LAC,BLO,RGO,RGO,DP,,,,,1
Zelk Antilles,490,966,Emerson,703,69,1B,103,T3,0,0,0,1,2.54%,-2.54%,0,0,156,14,3,BLO,LAC,1B,1B,1B,,,,,1
Chris P. Bacon,210,525,Emerson,703,222,K,303,T3,0,1,0,1,-2.87%,2.87%,0,0,156,14,3,BLO,LAC,K,K,K,,,,,1
Eijun Sawamura,2782,340,Emerson,703,585,K,245,T3,1,1,0,1,-2.32%,2.32%,0,0,156,14,3,BLO,LAC,K,K,FO,,,,,1
Perry Platypus,2332,1000,Emerson,703,725,K,275,T3,2,1,0,1,-3.57%,3.57%,0,0,156,14,3,BLO,LAC,K,K,FO,,,,,1
Joey McCarty,390,614,Dakota Carolina Montana,65,964,K,350,B3,0,0,0,1,-3.58%,3.58%,0,0,157,14,3,LAC,BLO,K,K,K,,,,,1
Rocky Li,2585,25,Dakota Carolina Montana,65,219,FO,194,B3,1,0,0,1,-3.10%,3.10%,0,0,157,14,3,LAC,BLO,FO,FO,FO,,,,,1
Mecha Vulfzilla,265,1000,Dakota Carolina Montana,65,696,K,304,B3,2,0,0,1,-2.59%,2.59%,0,0,157,14,3,LAC,BLO,K,K,K,,,,,1
Tara Dactyl,252,327,Emerson,703,687,PO,360,T4,0,0,0,1,-2.44%,2.44%,0,0,158,14,3,BLO,LAC,PO,PO,K,,,,,1
BOOG,2648,579,Emerson,703,867,K,288,T4,1,0,0,1,-2.13%,2.13%,0,0,158,14,3,BLO,LAC,K,K,K,,,,,1
Phil Coulson,226,201,Emerson,703,287,1B,86,T4,2,0,0,1,1.85%,-1.85%,0,0,158,14,3,BLO,LAC,1B,1B,1B,,,,,1
Helen Hywater,2552,647,Emerson,703,443,FO,204,T4,2,1,0,1,-3.78%,3.78%,0,0,158,14,3,BLO,LAC,FO,FO,FO,,,,,1
Holden Summers,10,272,Dakota Carolina Montana,65,231,2B,41,B4,0,0,0,1,11.26%,-11.26%,0,1,159,14,3,LAC,BLO,2B,2B,2B,,,,,1
Kevin James,2659,986,Dakota Carolina Montana,65,41,2B,55,B4,0,2,0,1,18.58%,-18.58%,1,1,159,14,3,LAC,BLO,2B,2B,2B,,65,,,1
Ferret McGivins,1706,281,Dakota Carolina Montana,65,163,1B,118,B4,0,2,1,1,9.35%,-9.35%,0,1,159,14,3,LAC,BLO,1B,1B,1B,,,,,1
Heechul Kim,671,215,Dakota Carolina Montana,65,842,K,373,B4,0,5,1,1,-8.73%,8.73%,0,0,159,14,3,LAC,BLO,K,K,K,,,,,1
Ferret McGivins,1706,562,Dakota Carolina Montana,65,714,SB,152,B4,1,5,1,1,3.06%,-3.06%,0,0,159,14,3,LAC,BLO,STEAL 2B,STEAL 2B,SB,,,,,5
Chuck Tingle,355,360,Dakota Carolina Montana,65,388,HR,28,B4,1,6,1,1,21.11%,-21.11%,3,1,159,14,3,LAC,BLO,HR,HR,3B,65,65,,65,1
Trey Henderson,2672,769,Pope Coswi,2327,822,2B,53,B4,1,0,4,1,1.03%,-1.03%,0,0,159,14,3,LAC,BLO,2B,2B,2B,,,,,1
Joey McCarty,390,803,Pope Coswi,2327,622,FO,181,B4,1,2,4,1,-0.85%,0.85%,0,0,159,14,3,LAC,BLO,FO,FO,FO,,,,,1
Rocky Li,2585,650,Pope Coswi,2327,103,LGO,453,B4,2,2,4,1,-1.23%,1.23%,0,0,159,14,3,LAC,BLO,LGO,LGO,LGO,,,,,1
Copenhagen Black,152,3,Kenny Powers,2627,613,PO,390,T5,0,0,4,1,-2.30%,2.30%,0,0,160,14,3,BLO,LAC,PO,PO,PO,,,,,1
Zelk Antilles,490,480,Kenny Powers,2627,168,K,312,T5,1,0,4,1,-1.67%,1.67%,0,0,160,14,3,BLO,LAC,K,K,K,,,,,1
Chris P. Bacon,210,223,Kenny Powers,2627,281,1B,58,T5,2,0,4,1,1.64%,-1.64%,0,0,160,14,3,BLO,LAC,1B,1B,2B,,,,,1
Eijun Sawamura,2782,281,Kenny Powers,2627,813,LGO,468,T5,2,1,4,1,-2.62%,2.62%,0,0,160,14,3,BLO,LAC,LGO,LGO,LGO,,,,,1
Mecha Vulfzilla,265,699,Pope Coswi,2327,947,FO,248,B5,0,0,4,1,-0.30%,0.30%,0,0,161,14,3,LAC,BLO,FO,K,FO,,,,,1
Holden Summers,10,247,Pope Coswi,2327,341,1B,94,B5,1,0,4,1,0.22%,-0.22%,0,0,161,14,3,LAC,BLO,1B,1B,1B,,,,,1
Holden Summers,10,420,Pope Coswi,2327,841,CS,421,B5,1,1,4,1,-0.53%,0.53%,0,0,161,14,3,LAC,BLO,CS 2B,CS 2B,CS,,,,,4
Kevin James,2659,841,Pope Coswi,2327,841,HR,0,B5,2,0,4,1,2.01%,-2.01%,1,1,161,14,3,LAC,BLO,HR,HR,HR,,,,2327,1
Ferret McGivins,1706,420,Pope Coswi,2327,103,PO,317,B5,2,0,5,1,-0.11%,0.11%,0,0,161,14,3,LAC,BLO,PO,PO,K,,,,,1
Perry Platypus,2332,1000,Kenny Powers,2627,269,K,269,T6,0,0,5,1,-0.92%,0.92%,0,0,162,14,3,BLO,LAC,K,K,FO,,,,,1
Tara Dactyl,252,12,Kenny Powers,2627,920,1B,92,T6,1,0,5,1,1.03%,-1.03%,0,0,162,14,3,BLO,LAC,1B,1B,1B,,,,,1
BOOG,2648,808,Kenny Powers,2627,753,2B,55,T6,1,1,5,1,3.95%,-3.95%,0,0,162,14,3,BLO,LAC,2B,2B,2B,,,,,1
Phil Coulson,226,219,Kenny Powers,2627,571,PO,352,T6,1,6,5,1,-3.73%,3.73%,0,0,162,14,3,BLO,LAC,PO,PO,K,,,,,1
Helen Hywater,2552,313,Kenny Powers,2627,841,LGO,472,T6,2,6,5,1,-1.97%,1.97%,0,0,162,14,3,BLO,LAC,LGO,LGO,LGO,,,,,1
Shorty McDougall,2760,920,Derek Rasmussen,2588,811,1B,109,T1,0,0,0,0,2.91%,-2.91%,0,0,163,15,3,GND,BIS,1B,BB,1B,,,,,1
Calvin Ball,2805,711,Derek Rasmussen,2588,1,K,290,T1,0,1,0,0,-2.99%,2.99%,0,0,163,15,3,GND,BIS,K,K,K,,,,,1
Mikel Jardin,2476,777,Derek Rasmussen,2588,211,DP,434,T1,1,1,0,0,-6.37%,6.37%,0,0,163,15,3,GND,BIS,LGO,LGO,DP,,,,,1
Fik Seiko,2207,590,Franz Lisztpitcher,2275,611,HR,21,B1,0,0,0,0,11.79%,-11.79%,1,1,164,15,3,BIS,GND,HR,HR,HR,,,,2275,1
Cameron gall,2547,10,Franz Lisztpitcher,2275,288,FO,278,B1,0,0,1,0,-1.97%,1.97%,0,0,164,15,3,BIS,GND,FO,FO,FO,,,,,1
Francis Swagger,610,891,Franz Lisztpitcher,2275,203,RGO,312,B1,1,0,1,0,-1.80%,1.80%,0,0,164,15,3,BIS,GND,RGO,RGO,K,,,,,1
Kev Biffington,2276,222,Franz Lisztpitcher,2275,404,FO,182,B1,2,0,1,0,-1.44%,1.44%,0,0,164,15,3,BIS,GND,FO,FO,FO,,,,,1
Tate Spudworth IV,2496,164,Derek Rasmussen,2588,911,K,253,T2,0,0,1,0,-2.95%,2.95%,0,0,165,15,3,GND,BIS,K,K,FO,,,,,1
Lloyd Gross,135,200,Derek Rasmussen,2588,311,1B,111,T2,1,0,1,0,2.84%,-2.84%,0,0,165,15,3,GND,BIS,1B,1B,1B,,,,,1
Bonesy McSkellington,1733,713,Derek Rasmussen,2588,312,DP,401,T2,1,1,1,0,-7.31%,7.31%,0,0,165,15,3,GND,BIS,RGO,RGO,DP,,,,,1
Brian Taylor,1838,456,Franz Lisztpitcher,2275,672,FO,216,B2,0,0,1,0,-2.00%,2.00%,0,0,166,15,3,BIS,GND,FO,FO,FO,,,,,1
Nicholas Fouss,1776,350,Franz Lisztpitcher,2275,160,FO,190,B2,1,0,1,0,-1.83%,1.83%,0,0,166,15,3,BIS,GND,FO,FO,FO,,,,,1
Monty Johnson,557,942,Franz Lisztpitcher,2275,546,PO,396,B2,2,0,1,0,-1.56%,1.56%,0,0,166,15,3,BIS,GND,PO,PO,PO,,,,,1
Sierra Hightower,776,69,Derek Rasmussen,2588,618,LGO,451,T3,0,0,1,0,-3.32%,3.32%,0,0,167,15,3,GND,BIS,LGO,LGO,LGO,,,,,1
James Jameson CDXX,2736,352,Derek Rasmussen,2588,717,RGO,365,T3,1,0,1,0,-2.85%,2.85%,0,0,167,15,3,GND,BIS,RGO,RGO,K,,,,,1
Willians Adobestudio,2260,516,Derek Rasmussen,2588,250,K,266,T3,2,0,1,0,-2.26%,2.26%,0,0,167,15,3,GND,BIS,K,K,FO,,,,,1
