Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Mike Oxlittle,105,778,Caleb Athen,325,747,HR,31,B4,2,4,10,1,0.14%,-0.14%,3,1,19,2,1,LAN,FTP,HR,2B,,1
Emmett Michael,10,332,Caleb Athen,325,1,K,331,B4,2,0,13,1,0.00%,0.00%,0,0,19,2,1,LAN,FTP,K,K,,1
Grimm Carp,369,343,Tim Spooneybarger,4,131,FO,212,T5,0,0,13,1,-0.02%,0.02%,0,0,20,2,1,FTP,LAN,FO,FO,,1
Caleb Athen,325,666,Tim Spooneybarger,4,940,K,274,T5,1,0,13,1,-0.02%,0.02%,0,0,20,2,1,FTP,LAN,K,K,,1
Caleb Aiken,324,557,Tim Spooneybarger,4,627,2B,70,T5,2,0,13,1,0.02%,-0.02%,0,0,20,2,1,FTP,LAN,2B,1B,,1
Jayson Burdwell,282,982,Tim Spooneybarger,4,630,K,352,T5,2,2,13,1,-0.01%,0.01%,0,0,20,2,1,FTP,LAN,K,K,,1
Buck Armstrong,97,852,Caleb Athen,325,596,FO,256,B5,0,0,13,1,0.01%,-0.01%,0,0,21,2,1,LAN,FTP,FO,FO,,1
Spitz McGregor III,383,33,Caleb Athen,325,101,2B,68,B5,1,0,13,1,0.00%,0.00%,0,0,21,2,1,LAN,FTP,2B,2B,,1
Lawrence Wiseman,380,82,Caleb Athen,325,364,FO,282,B5,1,2,13,1,-0.01%,0.01%,0,0,21,2,1,LAN,FTP,FO,K,,1
Babatunde Oladotun,386,816,Caleb Athen,325,142,K,326,B5,2,2,13,1,0.01%,-0.01%,0,0,21,2,1,LAN,FTP,K,K,,1
Buzz Schwinghammer,367,12,Tim Spooneybarger,4,134,1B,122,T6,0,0,13,1,0.00%,0.00%,0,0,22,2,1,FTP,LAN,1B,1B,,1
Jeff Dingerhitter,298,883,Tim Spooneybarger,4,501,K,382,T6,0,1,13,1,0.01%,-0.01%,0,0,22,2,1,FTP,LAN,K,PO,,1
Chuck Tingle,355,68,Tim Spooneybarger,4,702,K,366,T6,1,1,13,1,-0.01%,0.01%,0,0,22,2,1,FTP,LAN,K,K,,1
Miguel Snow,290,738,Tim Spooneybarger,4,366,RGO,372,T6,2,1,13,1,0.00%,0.00%,0,0,22,2,1,FTP,LAN,RGO,RGO,,1
Emmett Michael,10,504,Skye McDowell,264,474,3B,30,T1,0,0,0,0,9.57%,-9.57%,0,1,23,3,2,LAN,CIN,3B,2B,,1
Lawrence Wiseman,380,678,Skye McDowell,264,500,BB,178,T1,0,3,0,0,2.90%,-2.90%,0,1,23,3,2,LAN,CIN,BB,FO,,2
Tim Spooneybarger,4,325,Skye McDowell,264,238,2B,87,T1,0,5,0,0,12.04%,-12.04%,1,0,23,3,2,LAN,CIN,2B,1B,,1
Morris Deratt,104,689,Skye McDowell,264,299,K,390,T1,0,6,0,1,-4.80%,4.80%,0,0,23,3,2,LAN,CIN,K,PO,,1
Thomas Nova,1,555,Skye McDowell,264,1,RGO,446,T1,1,6,0,1,0.78%,-0.78%,1,0,23,3,2,LAN,CIN,RGO,RGO,,1
Doug Quail,388,720,Skye McDowell,264,420,RGO,300,T1,2,3,0,2,-3.21%,3.21%,0,0,23,3,2,LAN,CIN,RGO,RGO,,1
Dirtbag Darrell,262,341,Dick Woolridge,92,402,2B,61,B1,0,0,0,2,7.22%,-7.22%,0,1,24,3,2,CIN,LAN,2B,2B,,1
Takahiro Hirasawa,419,82,Dick Woolridge,92,288,BB,206,B1,0,2,0,2,2.92%,-2.92%,0,0,24,3,2,CIN,LAN,BB,FO,,1
Jered Bentley,420,438,Dick Woolridge,92,920,DP,482,B1,0,4,0,2,-11.98%,11.98%,0,0,24,3,2,CIN,LAN,LGO,LGO,,1
Heavy Raine,40,710,Dick Woolridge,92,650,2B,60,B1,2,3,0,2,11.57%,-11.57%,1,1,24,3,2,CIN,LAN,2B,2B,,1
Dallas Houston,416,549,Dick Woolridge,92,676,1B,127,B1,2,2,1,2,11.25%,-11.25%,1,0,24,3,2,CIN,LAN,1B,BB,,1
Layzer Gunn,259,427,Dick Woolridge,92,27,PO,400,B1,2,1,2,2,-3.69%,3.69%,0,0,24,3,2,CIN,LAN,PO,PO,,1
Y.E. Wally,5,814,Skye McDowell,264,539,K,275,T2,0,0,2,2,-2.72%,2.72%,0,0,25,3,2,LAN,CIN,K,K,,1
Mike Oxlittle,105,469,Skye McDowell,264,1000,LGO,469,T2,1,0,2,2,-2.40%,2.40%,0,0,25,3,2,LAN,CIN,LGO,LGO,,1
Thomas Chiggins,16,233,Skye McDowell,264,600,K,367,T2,2,0,2,2,-1.99%,1.99%,0,0,25,3,2,LAN,CIN,K,K,,1
Markus Wölfe,54,347,Dick Woolridge,92,322,HR,25,B2,0,0,2,2,13.33%,-13.33%,1,1,26,3,2,CIN,LAN,HR,HR,,1
Jackson Sanchez,46,845,Dick Woolridge,92,578,K,267,B2,0,0,3,2,-2.00%,2.00%,0,0,26,3,2,CIN,LAN,K,K,,1
Skye McDowell,264,800,Dick Woolridge,92,712,2B,88,B2,1,0,3,2,3.71%,-3.71%,0,1,26,3,2,CIN,LAN,2B,1B,,1
Dirtbag Darrell,262,549,Dick Woolridge,92,35,LGO,486,B2,1,2,3,2,-2.97%,2.97%,0,0,26,3,2,CIN,LAN,LGO,LGO,,1
Takahiro Hirasawa,419,375,Dick Woolridge,92,202,1B,173,B2,2,2,3,2,9.66%,-9.66%,1,0,26,3,2,CIN,LAN,1B,BB,,1
Jered Bentley,420,540,Dick Woolridge,92,962,PO,422,B2,2,1,4,2,-2.24%,2.24%,0,0,26,3,2,CIN,LAN,PO,RGO,,1
Emmett Michael,10,615,Skye McDowell,264,369,BB,246,T3,0,0,4,2,3.82%,-3.82%,0,1,27,3,2,LAN,CIN,BB,FO,,1
Lawrence Wiseman,380,760,Skye McDowell,264,728,3B,32,T3,0,1,4,2,20.85%,-20.85%,1,1,27,3,2,LAN,CIN,3B,2B,,1
Tim Spooneybarger,4,432,Skye McDowell,264,760,RGO,328,T3,0,3,4,3,-6.39%,6.39%,0,0,27,3,2,LAN,CIN,RGO,RGO,,2
Morris Deratt,104,631,Skye McDowell,264,849,BB,218,T3,1,3,4,3,3.53%,-3.53%,0,1,27,3,2,LAN,CIN,BB,FO,,1
Thomas Nova,1,995,Skye McDowell,264,1000,HR,5,T3,1,5,4,3,29.82%,-29.82%,3,1,27,3,2,LAN,CIN,HR,HR,,1
