Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Theodore Charmsek,2368,425,Mecha Godzilla,265,956,LGO,469,T3,1,0,1,6,-0.19%,0.19%,0,0,0,28,4,2,GEO,OSU,LGO,LGO,LGO,1
Hugh Jass,2357,25,Mecha Godzilla,265,789,FO,236,T3,2,0,1,6,-0.13%,0.13%,0,0,0,28,4,2,GEO,OSU,FO,K,FO,1
Memento Mori,2365,682,Obama But White,2372,890,FO,208,B3,0,0,1,6,-0.91%,0.91%,0,0,0,29,4,2,OSU,GEO,FO,FO,FO,1
Patrick Stump,2173,175,Obama But White,2372,111,2B,64,B3,1,0,1,6,1.61%,-1.61%,0,0,0,29,4,2,OSU,GEO,2B,2B,2B,1
Michael Pizza,2388,802,Obama But White,2372,222,PO,420,B3,1,2,1,6,-1.60%,1.60%,0,0,0,29,4,2,OSU,GEO,PO,PO,RGO,1
Briek Vermeesch,2366,617,Obama But White,2372,472,FO,145,B3,2,2,1,6,-0.91%,0.91%,0,0,0,29,4,2,OSU,GEO,FO,FO,BB,1
Randy Scrub,2385,420,Mecha Godzilla,265,956,LGO,464,T4,0,0,1,6,-0.08%,0.08%,0,0,0,30,4,2,GEO,OSU,LGO,LGO,LGO,1
Robben Banks,2380,184,Mecha Godzilla,265,533,RGO,349,T4,1,0,1,6,-0.07%,0.07%,0,0,0,30,4,2,GEO,OSU,RGO,RGO,K,1
Tremendous Masters,2359,696,Mecha Godzilla,265,267,LGO,429,T4,2,0,1,6,-0.06%,0.06%,0,0,0,30,4,2,GEO,OSU,LGO,LGO,RGO,1
Boots Malarkey,2383,912,Obama But White,2372,222,K,310,B4,0,0,1,6,-0.56%,0.56%,0,0,0,31,4,2,OSU,GEO,K,K,K,1
Betardo Carrero,2394,315,Obama But White,2372,740,PO,425,B4,1,0,1,6,-0.27%,0.27%,0,0,0,31,4,2,OSU,GEO,PO,PO,RGO,1
Grice Maxim,2392,275,Obama But White,2372,189,BB,86,B4,2,0,1,6,0.18%,-0.18%,0,0,0,31,4,2,OSU,GEO,BB,BB,1B,1
Perry Platypus,2332,950,Obama But White,2372,804,BB,146,B4,2,1,1,6,0.50%,-0.50%,0,0,0,31,4,2,OSU,GEO,BB,BB,BB,1
Smoke Anderson,1839,3,Obama But White,2372,569,RGO,434,B4,2,4,1,6,-0.77%,0.77%,0,0,0,31,4,2,OSU,GEO,RGO,RGO,RGO,1
Buck Maverick,2334,954,Kuuma Kivi,2397,832,BB,122,T1,0,0,0,0,3.31%,-3.31%,0,0,1,32,5,3,GEO,NEB,BB,BB,1B,1
Buck Maverick,2334,444,Kuuma Kivi,2397,140,SB,304,T1,0,1,0,0,4.40%,-4.40%,0,1,0,32,5,3,GEO,NEB,Steal 2B,Steal 2B,SB,4
Ronald (Ron) Redmers,2370,747,Kuuma Kivi,2397,780,2B,33,T1,0,2,0,0,13.12%,-13.12%,1,0,0,32,5,3,GEO,NEB,2B,2B,2B,1
Kilometers Man,2363,719,Kuuma Kivi,2397,94,K,375,T1,0,2,0,1,-3.79%,3.79%,0,0,0,32,5,3,GEO,NEB,K,K,K,1
Guthlac son of Romund,2340,707,Kuuma Kivi,2397,69,K,362,T1,1,2,0,1,-3.57%,3.57%,0,0,0,32,5,3,GEO,NEB,K,K,K,1
Hugh Jass,2357,500,Kuuma Kivi,2397,610,BB,110,T1,2,2,0,1,1.12%,-1.12%,0,0,0,32,5,3,GEO,NEB,BB,BB,1B,1
Wazz Up,2328,234,Kuuma Kivi,2397,420,FO,186,T1,2,4,0,1,-5.91%,5.91%,0,0,0,32,5,3,GEO,NEB,FO,FO,FO,1
Alton Beasley,2348,380,Dirk Digglet,2206,69,PO,311,B1,0,0,0,1,-3.58%,3.58%,0,0,0,33,5,3,NEB,GEO,PO,PO,K,1
Guillermo  Rodríguez,2369,485,Dirk Digglet,2206,69,PO,416,B1,1,0,0,1,-3.10%,3.10%,0,0,0,33,5,3,NEB,GEO,PO,PO,RGO,1
