Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
KGB,POS,9001,9.0,S9,1,0,0,3,4,1,0,3,6,0,2,4,2,1,0,0,7,10,25,1,1,-2.7714285714285714,-0.13869276556776555,0.0,Away
KIR,CRN,10001,10.0,S10,1,0,0,0,5,1,0,5,3,0,6,2,1,0,0,1,5,5,23,2,2,-1.285714285714286,-0.04423005565862711,-0.19119999999999993,Home
KNX,PBA,7004,7.0,S7,1,1,0,0,1,1,0,0,9,0,1,3,3,2,0,0,2,5,19,1,1,-2.2238805970149254,-0.15324092804192307,0.0,Away
KNX,SSJ,7007,7.0,S7,2,0,0,0,4,0,0,4,4,1,3,2,4,1,0,0,4,4,21,0,0,-3.2238805970149254,-0.24596228260407366,-0.4053,Away
KRB,ISO,5002,5.0,S5,1,3,0,1,1,2,0,6,0,0,4,1,3,1,0,0,5,15,21,4,4,1.3456790123456785,0.21942224388130818,0.181,Home
KRB,WWC,5006,5.0,S5,2,0,2,0,4,4,0,4,4,0,0,2,6,2,0,0,6,10,26,1,1,-2.185185185185185,-0.11346076095588768,-0.3195,Away
LAC,BIS,8002,8.1,S8A,1,1,0,3,3,0,0,2,6,0,1,4,4,1,1,0,7,13,24,3,3,0.6666666666666667,0.16689469320066333,-0.2131,Away
LAN,CIN,3003,3.0,S3,2,3,2,3,3,11,0,2,5,0,1,5,3,1,0,0,11,27,38,14,13,6.6499999999999995,0.7479885057471265,0.0,Away
LAN,FTP,3002,3.0,S3,1,4,0,2,6,5,1,7,7,1,0,1,0,0,0,0,12,26,32,13,13,6.874999999999999,0.7573850574712644,0.0,Home
LMN,DDD,4007,4.0,S4,3,1,0,3,1,2,0,2,5,0,5,3,1,2,0,0,5,11,23,2,2,-2.3058823529411763,-0.1607638069554469,-0.03480000000000002,Away
LMN,EEE,4003,4.0,S4,1,3,0,5,0,3,0,4,5,0,2,3,2,1,0,0,8,22,28,7,7,2.6941176470588233,0.35441541659643794,0.35829999999999995,Away
LMN,MVM,5005,5.0,S5,2,2,1,1,3,1,0,6,2,0,7,2,1,0,2,0,7,16,26,3,4,0.8148148148148148,0.19462060501046854,0.1804999999999999,Away
