Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
SEO,CRN,10003,10.0,S10,2,2,0,4,2,3,0,0,2,5,6,2,4,0,3,0,8,31,7.0,4,0.1666666666666663,0.13540816326530614,-0.27709999999999996,16,8,Home
SGP,SAS,6002,6.0,S6,1,1,1,1,4,1,0,0,4,5,3,1,2,0,0,0,7,23,5.0,3,0.462686567164179,0.07565735123968548,-0.24960000000000002,9,3,Away
SHH,DOG,11002,11.0,S11,1,2,0,3,1,3,0,0,2,12,1,1,2,0,0,0,6,27,6.0,7,2.846153846153846,-0.164947963800905,0.0,10,4,Home
SSC,BBC,7002,7.0,S7,1,0,1,3,1,2,0,0,7,4,1,2,6,0,1,1,5,27,7.0,2,-2.685419058553387,0.39367174101004954,0.0,13,8,Away
SSC,SCG,7009,7.0,S7,3,1,0,0,5,2,0,0,2,3,1,6,3,3,0,0,6,23,6.0,1,-2.2238805970149254,0.32162896344488384,0.0,10,8,Away
SSC,SSJ,7011,7.0,S7,4,3,1,2,1,1,0,0,3,4,4,3,1,2,0,1,7,23,6.0,4,0.7761194029850746,0.025943785346770474,0.0,10,1,Away
SSC,TBL,7008,7.0,S7,2,0,0,2,1,6,0,0,5,4,3,2,3,1,0,0,3,26,6.0,3,-0.22388059701492546,0.1345734291505436,-0.09000000000000001,10,6,Away
SSJ,FAP,7010,7.0,S7,3,0,0,1,6,1,0,0,3,1,7,1,6,0,0,0,7,26,6.0,1,-2.2238805970149254,0.33457342915054356,0.0,11,6,Home
SSJ,KNX,7007,7.0,S7,2,0,0,0,4,0,0,0,4,4,3,2,4,1,0,0,4,21,6.0,0,-3.2238805970149254,0.4129993196411107,0.4053,9,4,Home
SSJ,SSC,7011,7.0,S7,4,0,1,2,4,4,1,0,3,2,8,2,2,0,0,1,7,28,6.0,5,1.7761194029850746,-0.05248210514379671,0.0,13,4,Home
STK,BAC,7001,7.0,S7,1,0,0,0,4,2,0,0,6,4,2,2,3,1,0,0,4,23,6.0,1,-2.2238805970149254,0.32162896344488384,0.0,10,5,Home
STK,SCG,7005,7.0,S7,2,1,1,1,6,5,0,0,2,2,4,2,5,0,0,0,9,29,5.0,7,4.313432835820896,-0.30621344842737885,-0.7054,12,7,Away
TAC,LMN,5004,5.0,S5,1,2,0,1,2,3,0,0,3,5,5,2,1,1,1,1,5,24,6.0,5,1.8148148148148147,-0.06835210454118841,-0.2775,12,5,Home
TBL,SSC,7008,7.0,S7,2,4,1,2,1,4,0,0,3,6,4,2,1,0,0,2,8,28,6.0,7,3.776119402985075,-0.24816728324191012,-0.5900000000000001,11,6,Home
TTT,CBC,6011,6.0,S6,4,0,0,2,4,1,0,0,3,4,1,1,3,2,1,0,6,20,5.0,2,-0.5373134328358209,0.16505508967828514,0.0,9,4,Away
TTT,FRG,6008,6.0,S6,2,1,0,0,4,1,0,0,7,6,0,3,1,1,0,0,5,23,6.0,1,-2.044776119402985,0.3264036198964019,0.37460000000000004,10,3,Away
TTT,HEL,6003,6.0,S6,1,1,0,1,0,4,0,0,2,8,5,2,1,0,0,0,2,24,6.0,2,-1.044776119402985,0.231704750677102,0.3833999999999999,14,3,Home
TTT,PHB,6010,6.0,S6,3,2,0,1,7,1,0,0,10,1,1,2,2,1,0,1,10,27,6.0,3,-0.04477611940298526,0.1529092737999026,0.0,6,2,Away
VFQ,CCS,4004,4.0,S4,1,0,0,1,4,2,0,0,1,5,0,5,5,1,0,1,5,23,6.0,1,-3.3058823529411767,0.4550918590932075,0.2435,14,5,Home
VFQ,LMN,4006,4.0,S4,2,3,0,0,5,1,0,0,5,5,1,4,2,1,1,0,8,26,6.0,7,2.6941176470588233,-0.12934518793190627,-0.3122,10,3,Home
WRM,DOG,11003,11.0,S11,2,2,0,1,1,4,0,0,3,5,6,1,2,0,0,0,4,25,5.666666666666667,3,-1.153846153846154,0.2261877828054299,0.0,9,4,Home
WRM,IDR,11001,11.0,S11,1,0,0,1,3,3,0,0,5,7,5,3,1,0,2,0,4,28,7.0,1,-3.846153846153846,0.517579185520362,0.0,13,6,Home
WSH,WWC,5001,5.0,S5,1,0,1,5,6,1,0,0,5,2,3,2,2,0,1,1,12,27,5.0,6,3.3456790123456788,-0.2083851346473179,-0.3063,9,3,Away
WSW,FAP,7006,7.0,S7,2,2,1,1,2,2,0,0,8,6,0,2,4,1,0,0,6,28,7.0,3,-1.6854190585533873,0.2893569191081629,0.007900000000000072,11,6,Home
WWC,CBC,6005,6.0,S6,2,3,0,0,3,1,0,0,6,7,0,2,0,0,1,0,6,22,5.0,3,0.462686567164179,0.07565735123968548,-0.22399999999999998,6,2,Away
WWC,KRB,5006,5.0,S5,2,0,2,0,4,4,0,0,4,4,0,2,6,2,0,0,6,26,6.0,1,-2.185185185185185,0.3316478954588116,0.3195,9,7,Home
WWC,LMN,5007,5.0,S5,3,2,0,1,2,7,1,0,4,6,1,3,2,2,0,0,5,28,6.0,8,4.814814814814815,-0.35964984477655043,-0.26220000000000004,10,6,Home
WWC,SAR,6001,6.0,S6,1,0,1,1,0,1,0,0,2,10,4,0,2,0,0,0,2,21,6.0,0,-3.044776119402985,0.4158013583350016,0.2177,12,6,Home
WWC,WSH,5001,5.0,S5,1,0,0,1,3,3,0,0,4,7,1,4,2,0,1,0,4,25,6.0,2,-1.1851851851851853,0.23164789545881162,0.19300000000000003,11,7,Home
