ID,Name,League,Season,Session,Game ID,Team,Notes
480,,MLR,12,9,135,TOR,Pinch hit for in B2
486,,MLR,4,7,96,MIN,Fielding Replacement
492,,MiLR,12,1,4,SAL,Fielding Replacement
497,,MiLR,6,7,97,LIM,Pinch hit for in T3
498,,MLR,4,10,142,MIN,Fielding Replacement
501,,MLR,7,9,132,HOU,Pinch hit for in B1
502,,MLR,4,6,90,SDP,Fielding Replacement
502,,MLR,7,10,138,ATL,Pinch hit for in T2
502,,MLR,7,13,190,ATL,Fielding Replacement
505,Poopio Cartez,MLR,4,2,20,SDP,Pinch hit for in B2
508,Otis Falconer,FCB,4,2,7,NU,Pinch hit for in B1
510,,MLR,4,2,16,NYY,Pinch hit for in T2
510,,MLR,6,14,200,NYY,Pinch hit for in B2
510,Ray Dingerz,MLR,7,1,14,NYY,Pinch hit for in T3
511,Miles Huh,MLR,4,3,44,CHC,Fielding Replacement
511,,MLR,4,5,73,CHC,Fielding Replacement
514,,FCB,4,2,11,WSU,Replaced in T2
515,,MLR,4,3,35,SEA,Fielding Replacement
516,,MLR,7,14,201,MIL,Pinch Runner
520,,MLR,5,6,81,HOU,Fielding Replacement
520,,MLR,5,9,125,HOU,Fielding Replacement
522,,MiLR,6,3,40,HEL,Pinch hit for in T2
522,,MiLR,7,4,25,STK,Pinch hit for in B1
523,,MLR,4,14,207,SFG,Pinch hit for in B2
525,,MLR,12,5,61,SDP,Fielding Replacement
531,,MLR,4,3,31,NYY,Pinch hit for in B3
531,,MLR,4,5,70,MTL,Fielding Replacement
532,Thelonius Jarts,FCB,4,2,12,WWU,Pinch hit for in B2
534,,MLR,4,8,117,CHC,Pinch hit for in T2
546,,MLR,5,10,142,DET,Fielding Replacement
547,,MiLR,6,10,137,PHB,Pinch hit for in B1
549,,MiLR,7,13,100,SSJ,Pinch hit for in B2
553,Alexander Hamilton II,MiLR_Playoff,6,2,6,BAC,Pinch hit for in B1
553,,MLR,4,11,151,NYY,Fielding Replacement
557,,MLR,6,14,209,STL,Fielding Replacement
557,,MLR,8,5,74,STL,Fielding Replacement
559,,MLR,5,7,91,NYY,Fielding Replacement
562,,MLR,10,16,230,MIN,Fielding Replacement
563,,MiLR,6,14,184,MPD,Fielding Replacement
563,,MLR,12,11,158,FLA,Pinch hit for in B3
564,,MLR,4,6,76,CWS,"Pinch Runner, Run Scored"
564,,MLR,5,2,20,CLE,Pinch hit for in T2
570,,MiLR,4,7,56,EEE,Fielding Replacement
577,,MLR,4,15,218,PHI,Fielding Replacement
582,,MLR,7,16,226,MIN,Fielding Replacement
587,,MLR,4,10,141,CLE,Fielding Replacement
593,,MLR,4,5,67,SEA,Pinch hit for in B2
596,,MiLR,7,12,96,MMA,Pinch hit for in B1
596,,MLR,8,3,39,NYM,Pinch hit for in T2
596,,MLR,8,7,91,NYM,Pinch hit for in T3
596,,MLR,11,14,196,BAL,Pinch hit for in T2
598,Herb Ferguson,FCB,4,2,9,CLM,Pinch hit for in B2
600,,MLR,8,13,190,SFG,Pinch hit for in B2
603,Broc Lee,FCB,4,2,11,GT,Pinch hit for in T2
606,,MiLR,7,3,24,FAP,Fielding Replacement
606,,MiLR,7,6,47,FAP,Fielding Replacement
607,,MLR,6,11,163,MIL,Pinch hit for in B2
607,,MLR,8,11,155,DET,Pinch hit for in B2
608,,MLR,4,14,200,CWS,Fielding Replacement
616,,MiLR,5,11,121,KRB,Pinch hit for in B1
620,,MLR,4,9,134,COL,Pinch hit for in B2
620,,MLR,5,5,70,COL,Pinch hit for in T2
620,,MLR,7,7,104,COL,Pinch hit for in B3
620,,MLR,7,9,134,COL,Pinch hit for in B2
620,,MLR,9,4,47,COL,Fielding Replacement
620,,MLR,10,3,36,COL,Pinch hit for in T3
620,,MLR,10,16,231,COL,Pinch hit for in B3
623,,MiLR,6,4,52,TAK,Fielding Replacement
623,,MLR,8,3,31,ATL,Pinch hit for in T2
629,,MiLR,6,8,108,CWJ,Pinch hit for in B2
630,,MLR,4,3,32,TOR,Pinch hit for in B1
630,,MLR,4,4,47,TOR,Pinch hit for in T2
631,,MLR,4,13,186,CLE,Pinch hit for in B2
631,,MLR,4,14,199,CLE,Pinch hit for in B2
638,,GIB,2,2,6,NOL,Pinch hit for in T2
638,,MiLR,5,3,36,MVM,Pinch hit for in B2
639,,MiLR_Playoff,4,1,2,DDD,Fielding Replacement
640,,MLR,6,15,216,CWS,Pinch hit for in B3
640,,MLR,7,16,234,MTL,Pinch hit for in B2
644,,MiLR,5,3,34,NUL,Pinch hit for in T3
644,,MLR,5,2,25,MTL,Pinch hit for in B2
644,,MLR,5,3,40,MTL,Fielding Replacement
650,,FCB,4,2,11,WSU,Fielding Replacement
651,,FCB,4,2,11,WSU,Pinch hit for in B3
651,,MiLR,4,13,103,VFQ,Fielding Replacement
