Line ID,Batting Team's Score:,,,,,"Win Probability, slightly edited",,,,,,,,,,,,,,,,,,,,
,Inning,Top/Bot,OBC,Outs,Inning&OBC&Outs,-10+,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10+
87,2,2,5,0,2250,1.41%,1.96%,3.54%,7.91%,10.61%,15.88%,24.84%,34.66%,45.34%,58.71%,71.02%,80.64%,87.84%,92.13%,95.47%,97.28%,97.65%,98.99%,99.90%,99.90%,100%
88,2,2,5,1,2251,0.00%,0.50%,3.00%,5.28%,8.99%,14.01%,19.77%,28.38%,39.44%,52.00%,64.77%,75.91%,84.71%,90.53%,94.32%,96.35%,98.46%,98.79%,99.74%,99.75%,99.75%
89,2,2,5,2,2252,0.00%,0.30%,2.96%,3.77%,5.86%,8.86%,13.96%,21.34%,31.13%,43.37%,57.38%,70.42%,80.40%,87.95%,92.68%,95.19%,97.14%,98.35%,99.12%,99.32%,99.69%
90,2,2,6,0,2260,0.00%,3.45%,6.20%,8.10%,13.18%,18.31%,27.26%,37.77%,49.12%,62.80%,73.43%,82.29%,89.27%,93.65%,96.04%,97.56%,98.94%,99.45%,99.30%,99.50%,100.00%
91,2,2,6,1,2261,0.68%,3.24%,4.28%,5.82%,9.33%,14.51%,22.18%,30.81%,42.77%,54.85%,67.13%,77.91%,85.68%,91.43%,94.79%,96.88%,98.44%,98.47%,99.02%,99.51%,99.44%
92,2,2,6,2,2262,1.19%,1.59%,1.22%,2.09%,6.57%,8.80%,15.50%,22.58%,32.45%,44.15%,58.31%,70.92%,80.90%,88.14%,92.85%,95.90%,97.66%,97.65%,99.26%,99.50%,100.00%
93,2,2,7,0,2270,1.15%,3.06%,5.88%,11.98%,15.43%,21.91%,32.15%,41.05%,52.72%,65.11%,75.71%,83.83%,89.83%,93.83%,95.98%,97.28%,98.65%,99.14%,98.90%,100.00%,100.00%
94,2,2,7,1,2271,3.08%,1.64%,3.12%,8.37%,13.43%,18.16%,26.07%,35.14%,45.99%,57.88%,69.27%,79.12%,86.55%,91.71%,94.98%,97.04%,98.47%,99.32%,99.00%,99.65%,99.15%
95,2,2,7,2,2272,0.63%,0.00%,1.26%,4.83%,8.71%,12.43%,18.16%,25.57%,35.26%,47.27%,60.20%,72.54%,81.95%,88.31%,92.84%,96.04%,97.49%,98.54%,99.59%,99.70%,99.66%
96,3,1,0,0,3100,0.23%,0.64%,0.92%,1.82%,3.18%,5.38%,9.08%,14.91%,23.39%,34.94%,50.01%,64.91%,76.74%,85.12%,90.82%,94.54%,96.83%,98.36%,99.00%,99.54%,99.82%
