Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Robben Banks,2380,365.0,Mecha Godzilla,265,223.0,BB,142.0,B1,1,0,0,0,2.28%,-2.28%,0,0,0,49,7,4,GEO,OSU,BB,BB,BB,1
Waffles O'Laughlin,2347,323.0,Mecha Godzilla,265,563.0,FO,240.0,B1,1,1,0,0,-2.55%,2.55%,0,0,0,49,7,4,GEO,OSU,FO,FO,FO,1
Robben Banks,2380,780.0,Mecha Godzilla,265,156.0,CS,376.0,B1,2,1,0,0,-3.69%,3.69%,0,0,0,49,7,4,GEO,OSU,CS 2B,CS 2B,CS,4
Briek Vermeesch,2366,566.0,Richard Northstar,275,120.0,RGO,446.0,T2,0,0,0,0,-2.72%,2.72%,0,0,0,50,7,4,OSU,GEO,RGO,RGO,RGO,1
MELTZ Slander,2335,923.0,Richard Northstar,275,363.0,RGO,440.0,T2,1,0,0,0,-2.40%,2.40%,0,0,0,50,7,4,OSU,GEO,RGO,RGO,RGO,1
Stan Francisco,2378,,Richard Northstar,275,,Auto K,,T2,2,0,0,0,-1.99%,1.99%,0,0,0,50,7,4,OSU,GEO,Auto K,Auto K,Auto K,9
Tremendous Masters,2359,482.0,Mecha Godzilla,265,363.0,BB,119.0,B2,0,0,0,0,2.94%,-2.94%,0,0,0,51,7,4,GEO,OSU,BB,BB,1B,1
God Carew,1827,771.0,Mecha Godzilla,265,23.0,FO,252.0,B2,0,1,0,0,-3.19%,3.19%,0,0,0,51,7,4,GEO,OSU,FO,FO,FO,1
Nate Park,2376,435.0,Mecha Godzilla,265,35.0,DP,400.0,B2,1,1,0,0,-6.88%,6.88%,0,0,0,51,7,4,GEO,OSU,RGO,DP,DP,1
Patrick Stump,2173,,Richard Northstar,275,,Auto K,,T3,0,0,0,0,-3.03%,3.03%,0,0,0,52,7,4,OSU,GEO,Auto K,Auto K,Auto K,9
Smoke Anderson,1839,799.0,Obama  But White,2372,218.0,RGO,419.0,T3,1,0,0,0,-2.74%,2.74%,0,0,0,52,7,4,OSU,GEO,RGO,RGO,RGO,1
Perry Platypus,2332,772.0,Obama  But White,2372,275.0,LGO,497.0,T3,2,0,0,0,-2.31%,2.31%,0,0,0,52,7,4,OSU,GEO,LGO,LGO,LGO,1
Buck Maverick,2334,825.0,Mecha Godzilla,265,933.0,1B,108.0,B3,0,0,0,0,3.09%,-3.09%,0,0,0,53,7,4,GEO,OSU,1B,1B,1B,1
Buck Maverick,2334,100.0,Mecha Godzilla,265,569.0,CS,469.0,B3,0,1,0,0,-6.16%,6.16%,0,0,0,53,7,4,GEO,OSU,CS 2B,CS 2B,CS,4
Randy Scrub,2385,873.0,Mecha Godzilla,265,267.0,RGO,394.0,B3,1,0,0,0,-2.77%,2.77%,0,0,0,53,7,4,GEO,OSU,RGO,RGO,PO,1
Theodore Charmsek,2368,633.0,Mecha Godzilla,265,777.0,BB,144.0,B3,2,0,0,0,2.37%,-2.37%,0,1,1,53,7,4,GEO,OSU,BB,BB,BB,1
Noah Clemens,2341,420.0,Mecha Godzilla,265,388.0,2B,32.0,B3,2,1,0,0,17.58%,-17.58%,1,0,0,53,7,4,GEO,OSU,2B,2B,2B,1
Guthlac son of Romund,2340,580.0,Herb Sessions,2245,23.0,RGO,443.0,B3,2,2,1,0,-4.15%,4.15%,0,0,0,53,7,4,GEO,OSU,RGO,RGO,RGO,1
Egor Kucherov,2342,821.0,Obama  But White,2372,9.0,FO,188.0,T4,0,0,1,0,-3.96%,3.96%,0,0,0,54,7,4,OSU,GEO,FO,FO,FO,1
