G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Season,Hitter ID,Team,is_sub_row,WAR
3.0,6.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.75,0.0,1.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,170.25,0.5,0.25,0.4871967387157141,0.0127,0.0,0.0,S3,-176,BOS,False,0.07668832058042022
2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,269.0,0.0,0.0,-0.6103430423313245,-0.0588,0.0,1.0,S3,-170,PHI,False,-0.047049980878708056
5.0,12.0,11.0,3.0,1.0,1.0,2.0,0.0,0.0,5.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.2727272727272727,0.3333333333333333,0.45454545454545453,0.7878787878787878,0.18181818181818182,0.42857142857142855,0.0,0.0,0.3333333333333333,0.08333333333333333,0.5,0.5,1.0,243.66666666666666,0.3333333333333333,0.45454545454545453,-0.02213470103647458,-0.2731,2.0,2.0,S3,-165,LAD,False,0.053723823314050144
8.0,16.0,15.0,4.0,3.0,1.0,0.0,2.0,1.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.26666666666666666,0.3125,0.7333333333333333,1.0458333333333334,0.4666666666666666,0.21428571428571427,0.0,0.0625,0.0,0.0625,0.9090909090909091,0.09090909090909091,10.0,254.6875,0.3125,0.7333333333333333,0.8266299833755353,-0.04929999999999998,10.0,1.0,S3,-135,TBD,False,0.157246056227817
1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,219.5,0.5,0.0,0.03679699593264066,-0.024300000000000002,0.0,0.0,S3,-133,TOR,False,0.013002581829547
6.0,14.0,12.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.16666666666666666,0.2857142857142857,0.25,0.5357142857142857,0.08333333333333334,0.2222222222222222,0.0,0.0,0.21428571428571427,0.14285714285714285,0.5714285714285714,0.42857142857142855,1.3333333333333333,273.5,0.2857142857142857,0.25,-0.0007029875744259118,-0.09269999999999996,4.0,3.0,S3,-132,TOR,False,0.06518987689653796
8.0,25.0,24.0,7.0,1.0,0.0,7.0,0.0,0.0,14.0,3.0,1.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.2916666666666667,0.32,0.5833333333333334,0.9033333333333333,0.2916666666666667,0.5,0.0,0.0,0.4,0.04,0.42857142857142855,0.5714285714285714,0.75,195.36363636363637,0.32,0.5833333333333334,-0.017488300119575306,0.10579999999999998,3.0,4.0,S3,-85,OAK,False,0.11478719794157914
2.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.25,0.25,1.0,1.25,0.75,0.0,0.0,0.25,0.25,0.0,0.5,0.5,1.0,300.5,0.25,1.0,0.1216695269298109,-0.128,1.0,1.0,S3,-77,ARI,False,0.03081271716554696
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,401.0,0.0,0.0,-0.14777478625825705,-0.0305,1.0,0.0,S3,-70,OAK,False,-0.010116037507684236
10.0,25.0,23.0,5.0,1.0,4.0,0.0,0.0,1.0,8.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,10.0,0.0,0.0,0.21739130434782608,0.28,0.34782608695652173,0.6278260869565218,0.13043478260869565,0.18181818181818182,1.0,0.04,0.0,0.08,0.4444444444444444,0.5555555555555556,0.8,251.3846153846154,0.28,0.34782608695652173,-3.6855627544391063,-0.17750000000000002,8.0,10.0,S3,-56,3TM,False,-0.252020247490374
