G,IP,BF,H,R,BB,IBB,K,HR,ERA,WHIP,Avg Diff,Season,Pitcher ID,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD
5.0,13.666666666666666,68.0,26.0,20.0,5.0,0.0,9.0,7.0,8.78048780487805,2.2682926829268295,208.9142857142857,S4,251,7.7376545272302035,14.0,31,2.0,2.0,0.0,0.0,0,2,0,0
4.0,9.333333333333334,33.0,6.0,2.0,2.0,0.0,4.0,1.0,1.2857142857142856,0.8571428571428571,265.1818181818182,S4,252,2.4772015655577295,9.333333333333334,186,1.0,3.0,0.0,0.0,1,1,0,0
9.0,21.666666666666668,95.0,23.0,12.0,12.0,2.0,13.0,4.0,3.323076923076923,1.6153846153846152,235.97916666666666,S4,253,4.160168598524763,22.666666666666668,70,2.0,8.0,1.0,0.0,0,3,2,0
10.0,29.666666666666668,137.0,32.0,21.0,21.0,0.0,22.0,6.0,4.247191011235955,1.7865168539325842,233.2027972027972,S4,258,4.568293058334616,33.666666666666664,85,4.0,6.0,2.0,0.0,3,1,1,0
11.0,33.666666666666664,132.0,23.0,14.0,12.0,0.0,52.0,6.0,2.495049504950495,1.0396039603960396,263.14285714285717,S4,268,1.5956598399565982,35.0,98,7.0,4.0,1.0,1.0,3,1,0,0
7.0,22.333333333333332,100.0,25.0,9.0,14.0,2.0,11.0,3.0,2.4179104477611943,1.746268656716418,239.77551020408163,S4,270,3.940421181762421,23.666666666666668,106,3.0,3.0,1.0,1.0,3,0,0,1
1.0,0.6666666666666666,4.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,3.0,203.2,S4,272,5.798630136986301,1.0,0,,,,,0,0,0,0
8.0,34.666666666666664,137.0,17.0,11.0,20.0,0.0,48.0,6.0,1.903846153846154,1.0673076923076923,242.05755395683454,S4,275,2.510168598524763,35.0,179,5.0,5.0,4.0,3.0,4,1,0,0
4.0,4.0,20.0,6.0,3.0,3.0,0.0,5.0,1.0,4.5,2.25,212.1904761904762,S4,279,4.298630136986301,4.0,28,,,,,0,0,0,1
2.0,4.0,18.0,5.0,3.0,1.0,0.0,5.0,2.0,4.5,1.5,252.88888888888889,S4,283,6.048630136986301,4.0,63,1.0,1.0,0.0,0.0,0,0,0,0
