G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
2,4,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0.0,0.25,0.0,0.25,0.0,0.0,,0.0,0.25,0.25,0.5,0.5,1.0,339.5,0.25,0.0,-0.9365477185026058,-0.1017,1,1,BP,4,3,0,0,1,0,0,S12,233.0,False,LAD,LAD,3,-0.07733455955481608
3,6,6,2,0,2,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,2,0,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.75,0.25,3.0,326.75,0.3333333333333333,0.3333333333333333,-0.6411104982533555,-0.05460000000000001,3,1,SF,6,6,2,2,0,0,0,S12,238.0,False,NYM,NYM,3,-0.03963073138216881
2,5,4,1,1,0,1,0,0,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0.25,0.4,0.5,0.9,0.25,0.3333333333333333,,0.0,0.2,0.2,1.0,0.0,,269.8,0.4,0.5,0.5311572618020736,0.10419999999999999,2,0,HK,5,4,1,2,1,0,0,S12,241.0,False,ARI,ARI,3,0.07351599154951297
2,6,6,3,3,1,0,0,2,9,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.5,0.5,1.5,2.0,1.0,0.25,,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,176.16666666666666,0.5,1.5,1.75430724587,0.2289,1,2,EN,6,6,3,9,0,0,0,S12,255.0,False,BAL,BAL,3,0.19991104303016674
2,5,3,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0.0,0.4,0.0,0.4,0.0,0.0,,0.0,0.2,0.4,0.5,0.5,1.0,273.0,0.4,0.0,-0.2536820283669023,-0.02140000000000001,1,1,WC,5,3,0,0,2,0,0,S12,259.0,False,NYY,NYY,2,-0.0049679374673846114
3,10,9,3,1,3,0,0,0,3,1,1,0,2,0,0,0,0,0,0,1,2,0,1,0,0.3333333333333333,0.4,0.3333333333333333,0.7333333333333334,0.0,0.42857142857142855,,0.0,0.2,0.1,0.75,0.25,3.0,284.3,0.4,0.25,-0.23987294252785296,-0.0102,3,1,WC,10,8,2,2,2,0,0,S12,264.0,False,TBR,TBR,3,0.016813236485825937
3,9,5,2,0,2,0,0,0,2,1,3,0,0,0,0,1,0,1,0,1,0,1,2,0,0.4,0.5555555555555556,0.4,0.9555555555555556,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.2,0.8,0.25,241.6,0.5555555555555556,0.3333333333333333,-1.1646944603222524,-0.10050000000000002,1,4,BP,9,6,2,2,3,0,0,S12,265.0,False,CIN,CIN,3,-0.07974896836747514
2,4,4,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.25,0.25,0.5,0.75,0.25,0.3333333333333333,,0.0,0.25,0.0,0.5,0.5,1.0,270.0,0.25,0.5,-0.8958498611201966,-0.051199999999999996,1,1,XB,4,4,1,2,0,0,0,S12,268.0,False,COL,COL,3,-0.07326477381657517
1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,2.0,384.3333333333333,0.0,0.0,-1.5581072172458728,-0.15630000000000002,2,1,BC,3,3,0,0,0,0,0,S12,271.0,False,BAL,BAL,2,-0.1435705625030039
3,5,5,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0.2,0.2,0.2,0.4,0.0,0.25,,0.0,0.2,0.0,0.6666666666666666,0.3333333333333333,2.0,250.2,0.2,0.2,-0.46232696835589004,-0.031899999999999984,2,1,1B,5,5,1,1,0,0,0,S12,278.0,False,NYM,NYM,3,-0.02583243146628339
