Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
SDP,LAD,6001,6,S6,1,0,1,1,3,2,0,0,3,4,1,5,3,2,0,0,5,23,6.0,1,-2.75,0.3742462815900316,0.11479999999999997,10,5,Away
SDP,LAD,8005,8,S8,2,3,2,1,2,3,0,0,3,4,0,4,3,1,0,0,8,25,5.0,8,3.892857142857143,-0.3276821822383487,-0.3536999999999999,9,5,Away
SDP,MTL,5010,5,S5,3,1,1,3,3,1,0,0,9,1,0,5,1,2,0,0,8,25,6.0,3,-0.9248120300751881,0.2002098344820384,0.21679999999999996,8,5,Away
SDP,OAK,5011,5,S5,4,1,1,1,4,2,0,0,6,2,1,1,5,2,0,1,7,24,6.0,2,-1.9248120300751883,0.3002098344820384,0.3034,9,6,Away
SDP,PHI,6005,6,S6,2,0,1,1,3,2,0,0,4,5,2,2,2,2,0,1,5,22,6.0,1,-2.75,0.3742462815900316,0.18099999999999997,10,3,Away
SDP,PIT,5005,5,S5,2,0,0,0,3,0,0,0,1,3,3,7,3,0,1,1,3,20,6.0,0,-3.9248120300751883,0.4872823987050961,0.6558,17,6,Away
SDP,SFG,7002,7,S7,1,2,0,4,6,3,1,0,2,1,5,5,5,0,3,0,12,33,6.0,9,4.839416058394161,-0.3456902591358576,-0.4381000000000001,15,7,Home
SDP,STL,6009,6,S6,3,3,1,3,4,1,0,0,2,3,1,4,4,1,0,0,11,26,5.0,6,2.875,-0.17530855124605127,-0.5941,10,6,Away
SEA,BOS,4004,4,S4,1,1,1,3,4,4,1,0,6,2,1,3,4,2,0,0,9,29,6.0,7,2.263157894736842,-0.13348664374504104,-0.3171000000000002,8,5,Home
SEA,CWS,6004,6,S6,1,1,1,0,2,2,0,0,7,4,3,1,3,0,0,0,4,24,6.0,5,1.2499999999999998,-0.02143866268866263,-0.3507999999999999,11,5,Home
SEA,KCR,4008,4,S4,2,3,2,2,1,2,0,0,4,7,6,2,1,0,0,0,8,30,6.666666666666667,8,1.7536842105263157,-0.07933827029886277,-0.8438999999999999,14,4,Away
SEA,OAK,8007,8,S8,2,2,0,4,9,3,0,0,1,4,3,3,2,1,2,1,15,31,5.0,10,5.892857142857143,-0.5055049107012972,-0.9168000000000002,12,4,Away
SEA,TOR,8004,8,S8,1,0,0,0,4,2,0,0,4,3,6,2,1,2,0,0,4,22,6.0,1,-3.9285714285714284,0.4470682510588245,0.4881999999999999,8,4,Away
SFG,ATL,10248,10,S10,2,2,0,3,5,3,0,0,4,5,2,1,3,1,2,2,10,28,6.0,5,1.871428571428571,-0.044607384109510685,-0.4826,8,5,Home
SFG,COL,3003,3,S3,1,1,0,1,5,6,0,0,5,2,2,4,1,1,0,0,7,27,5.0,3,0.6923076923076927,0.06252455755388306,-0.18340000000000004,9,4,Away
SFG,FLA,11244,11,S11,1,1,0,3,3,2,0,0,2,6,5,4,0,1,0,0,7,26,6.0,5,-0.18796992481203012,0.08440101133114475,-0.012799999999999994,9,7,Home
SFG,NYM,4005,4,S4,2,1,3,2,8,3,0,0,9,4,1,3,1,0,0,0,14,35,6.0,11,6.263157894736842,-0.5142806135942872,-0.4024,9,3,Home
SFG,PHI,2005,2,S2,2,1,2,1,2,3,1,0,5,4,0,5,3,0,0,1,6,26,6.0,4,1.6136363636363635,-0.047029780564263324,-0.14390000000000008,13,9,Home
SFG,SDP,7002,7,S7,1,1,0,2,4,0,0,0,3,2,4,1,5,3,0,0,7,22,6.0,1,-3.1605839416058394,0.400545328257203,0.06190000000000001,10,6,Away
SFG,STL,2002,2,S2,1,0,0,0,3,1,0,0,5,6,1,2,4,0,0,0,3,22,6.0,0,-2.3863636363636362,0.3317972831765935,0.2973,10,7,Home
SFG,STL,7005,7,S7,2,1,0,1,2,6,1,0,2,11,1,0,1,0,0,0,4,25,5.0,4,1.1727493917274936,-0.021267059517500422,-0.8393,13,2,Away
SFG,STL,11247,11,S11,2,5,0,2,2,5,0,0,2,8,2,1,1,1,0,0,9,28,5.0,9,4.676691729323308,-0.3970186910939321,-0.36409999999999987,8,4,Away
STL,ATL,3004,3,S3,1,2,0,2,1,3,0,0,6,4,1,4,2,1,0,0,5,25,6.0,4,0.5104895104895106,0.07094672189980107,-0.06340000000000001,10,6,Away
